Rank,Artist,Monthly Streams on Spotify,Total Streams (Spotify),Grammy's Won,Nominations,Genre
1,Bruno Mars,"129,644,847.00","43,023,465,072.00",16,36,Pop
2,Bad Bunny,"123,621,659.00","90,225,735,743.00",6,16,Reggaeton
3,The Weeknd,"117,670,476.00","7,838,564,682.00",4,14,Pop
4,Rihanna,"106,763,965.00","44,429,203,950.00",9,34,Pop
5,Taylor Swift,"105,644,666.00","120,171,911,008.00",14,58,Pop
6,Justin Bieber,"103,498,665.00","46,813,139,204.00",2,27,Pop
7,Lady Gaga,"96,880,933.00","34,999,811,890.00",16,45,Pop
8,Coldplay,"92,232,102.00","44,468,378,221.00",7,34,Alternative
9,Billie Eilish,"90,652,986.00","55,296,922,089.00",10,34,Alternative
10,Drake,"87,876,610.00","96,540,956,523.00",5,56,Hip-Hop
11,J Balvin,"85,708,122.00","39,274,047,895.00",0,6,Reggaeton
12,Ariana Grande,"84,317,667.00","61,704,892,371.00",3,19,Pop
13,Ed Sheeran,"83,625,413.00","58,104,851,294.00",4,17,Pop
14,David Guetta,"79,790,880.00","34,633,374,294.00",2,15,Electronic
15,Shakira,"77,647,649.00","27,689,154,389.00",4,7,Pop
16,Kendrick Lamar,"76,550,106.00","47,131,860,674.00",27,66,Hip-Hop
17,Maroon 5,"73,667,819.00","34,012,573,482.00",3,13,Pop
18,Eminem,"73,465,596.00","55,096,886,093.00",15,47,Hip-Hop
19,SZA,"71,162,527.00","27,565,186,788.00",7,31,RNB
20,Calvin Harris,"70,723,900.00","31,532,729,467.00",1,6,Electronic
21,Kanye West,"70,134,404.00","52,252,712,739.00",24,76,Hip-Hop
22,Pitbull,"66,929,233.00","19,783,696,850.00",1,1,Hip-Hop
23,Sabrina Carpenter,"66,702,415.00","21,830,330,696.00",2,12,Pop
24,Daddy Yankee,"66,506,207.00","26,269,803,641.00",0,5,Reggaeton
25,Dua Lipa,"66,068,128.00","39,676,927,218.00",3,10,Pop
26,Katy Perry,"64,266,695.00","24,254,223,242.00",0,13,Pop
27,Post Malone,"64,182,094.00","48,715,587,868.00",0,18,Pop
28,Sia,"63,994,169.00","23,830,434,264.00",0,9,Pop
29,Zara Larsson,"63,098,585.00","11,370,081,585.00",0,1,Pop
30,Michael Jackson,"62,117,359.00","19,839,086,275.00",13,38,Pop
31,Olivia Dean,"62,117,359.00","5,182,807,657.00",1,1,Soul
32,Rauw Alejandro,"61,625,828.00","32,366,356,513.00",0,5,Reggaeton
33,sombr,"60,373,023.00","4,238,227,067.00",0,1,Alternative
34,Harry Styles,"60,370,110.00","26,983,923,349.00",3,9,Pop
35,Travis Scott,"59,486,044.00","42,120,066,144.00",0,10,Hip-Hop
36,Doja Cat,"57,369,694.00","25,320,244,552.00",1,19,Hip-Hop
37,Adele,"57,365,540.00","27,464,981,584.00",16,25,Soul
38,Sean Paul,"57,025,810.00","10,632,058,297.00",1,10,Reggae
39,Black Eyed Peas,"56,829,947.00","14,435,244,745.00",6,15,Pop
40,Future,"55,223,997.00","29,211,556,538.00",3,15,Hip-Hop
41,Beyoncé,"55,141,628.00","30,300,375,424.00",35,99,Pop
42,RAYE,"55,092,417.00","6,333,856,321.00",0,4,Pop
43,Arijit Singh,"54,597,472.00","27,190,113,009.00",0,0,Indian Film Music
44,Arctic Monkeys,"54,440,753.00","26,671,918,926.00",0,9,Rock
45,Imagine Dragons,"53,970,948.00","38,758,566,619.00",1,4,Alternative
46,Ozuna,"53,642,475.00","34,373,145,803.00",0,0,Reggaeton
47,KAROL G,"53,543,014.00","28,437,724,665.00",1,3,Reggaeton
48,Miley Cyrus,"53,363,728.00","20,218,887,689.00",3,10,Pop
49,Linkin Park,"53,101,536.00","30,619,439,925.00",2,8,Metal
50,Djo,"53,052,509.00","3,362,479,456.00",0,1,Alternative
51,Shreya Ghoshal,"52,613,230.00","14,063,123,392.00",0,0,Indian Film Music
52,Alex Warren,"52,204,160.00","5,361,021,409.00",0,1,Pop
53,Halsey,"51,659,625.00","20,482,245,074.00",0,3,Pop
54,Queen,"50,766,491.00","28,128,081,680.00",0,4,Rock
55,Khalid,"50,071,546.00","30,001,053,366.00",0,7,RNB
56,Fleetwood Mac,"49,836,874.00","15,246,230,889.00",2,7,Rock
57,Tate McRae,"49,114,207.00","15,502,720,272.00",0,1,Pop
58,DJ Snake,"48,920,096.00","14,352,892,753.00",0,2,Electronic
59,The Chainsmokers,"48,243,656.00","22,781,039,081.00",1,4,Electronic
60,Elle Goulding,"48,133,618.00","15,228,327,963.00",0,2,Pop
61,Pritam,"48,088,212.00","25,964,367,660.00",0,0,Indian Film Music
62,Justin Timberlake,"47,537,608.00","12,657,211,695.00",10,40,RNB
63,Lil Wayne,"47,532,027.00","16,534,630,316.00",5,28,Hip-Hop
64,A.R. Rahman,"47,478,499.00","13,461,101,777.00",3,14,Indian Film Music
65,Olivia Rodrigo,"47,254,942.00","25,567,146,170.00",3,14,Rodrigo
66,Don Omar,"47,011,147.00","14,042,562,328.00",0,1,Reggaeton
67,Farruko,"46,986,668.00","15,044,748,256.00",0,1,Reggaeton
68,Don Toliver,"46,939,630.00","12,655,611,625.00",0,1,Hip-Hop
69,Maluma,"46,708,012.00","21,230,562,051.00",0,3,Reggaeton
70,Elton John,"46,532,726.00","17,491,579,920.00",5,37,Rock
71,Charlie Puth,"46,352,643.00","16,850,803,651.00",0,4,Pop
72,50 Cent,"45,452,131.00","14,093,133,808.00",1,14,Hip-Hop
73,OneRepublic,"45,436,903.00","19,941,387,064.00",0,1,Pop
74,The Neighbourhood,"45,426,440.00","18,130,271,958.00",0,0,Alternative
75,Britney Spears,"45,312,831.00","13,853,415,255.00",1,8,Pop
76,Usher,"45,235,671.00","12,135,351,492.00",8,23,RNB
77,Red Hot Chili Peppers,"45,074,530.00","20,515,847,783.00",3,16,Rock
